PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
44.411,0.015709,0.0126157,0.0098812,0.0075859,0.0057716,0.0044682,0.0030031,0.0019311,0.0011603,0.0002073
45.094,0.0157388,0.0126607,0.0098959,0.0075916,0.0057739,0.0044773,0.0030081,0.0019334,0.0011623,0.0002094
45.777,0.0157686,0.0126821,0.0099095,0.0075973,0.0057763,0.0044863,0.0030119,0.0019357,0.0011643,0.0002114
46.46,0.0157984,0.012699,0.0099186,0.007603,0.0057787,0.0044878,0.0030157,0.001938,0.0011663,0.0002135
47.143,0.0158159,0.0127159,0.0099276,0.0076087,0.0057811,0.0044881,0.0030195,0.0019403,0.0011683,0.0002155
47.826,0.0158297,0.0127328,0.0099367,0.0076144,0.0057834,0.0044884,0.0030233,0.0019426,0.0011703,0.0002175
48.51,0.0158434,0.0127497,0.0099458,0.00762,0.0057858,0.0044887,0.0030271,0.0019449,0.0011724,0.0002196
49.193,0.0158572,0.0127666,0.0099549,0.0076257,0.0057882,0.004489,0.0030309,0.0019472,0.0011744,0.0002216
49.876,0.015871,0.0127835,0.0099639,0.0076314,0.0057906,0.0044893,0.0030348,0.0019495,0.0011764,0.0002237
50.559,0.0158848,0.0128004,0.009973,0.0076371,0.0057929,0.0044896,0.0030386,0.0019518,0.0011784,0.0002257
51.242,0.0158986,0.0128173,0.0099821,0.0076428,0.0057953,0.00449,0.0030424,0.0019541,0.0011804,0.0002277
51.925,0.0159124,0.0128342,0.0099912,0.0076485,0.0057977,0.0044903,0.0030462,0.0019564,0.0011824,0.0002298
52.608,0.0159261,0.0128511,0.0100002,0.0076542,0.0058001,0.0044906,0.00305,0.0019587,0.0011844,0.0002318
53.291,0.0159399,0.012868,0.0100093,0.0076599,0.0058024,0.0044909,0.0030538,0.001961,0.0011865,0.0002339
53.975,0.0159537,0.0128821,0.0100184,0.0076656,0.0058048,0.0044912,0.0030576,0.0019633,0.0011885,0.0002359
54.658,0.0159689,0.0128953,0.0100274,0.0076712,0.0058072,0.0044915,0.0030614,0.0019656,0.0011905,0.000238
55.341,0.0159851,0.0129084,0.0100365,0.0076769,0.0058096,0.0044918,0.0030653,0.0019679,0.0011925,0.00024
56.024,0.0160012,0.0129215,0.0100456,0.0076826,0.0058119,0.0044921,0.0030691,0.0019702,0.0011945,0.000242
56.707,0.0160174,0.0129347,0.0100547,0.0076883,0.0058143,0.0044924,0.0030729,0.0019725,0.0011965,0.0002441
57.39,0.0160336,0.0129478,0.0100637,0.007694,0.0058167,0.0044927,0.0030767,0.0019748,0.0011985,0.0002461
58.073,0.0160498,0.0129609,0.0100728,0.0076997,0.0058191,0.004493,0.0030805,0.0019771,0.0012005,0.0002482
58.756,0.0160659,0.0129741,0.0100819,0.0077054,0.0058215,0.0044933,0.0030843,0.0019794,0.0012026,0.0002502
59.44,0.0160821,0.0129872,0.0100901,0.0077081,0.0058239,0.0044937,0.0030881,0.0019817,0.0012046,0.0002522
60.123,0.0160927,0.0130004,0.0100939,0.0077109,0.0058267,0.0044948,0.0030903,0.001984,0.0012066,0.0002518
60.806,0.0161009,0.0130098,0.0100976,0.0077136,0.0058295,0.0044976,0.0030923,0.0019855,0.001206,0.0002504
61.489,0.016109,0.0130191,0.0101013,0.0077164,0.0058324,0.0045005,0.0030942,0.0019867,0.0012055,0.0002491
62.172,0.0161171,0.0130283,0.010105,0.0077191,0.0058352,0.0045034,0.0030962,0.0019879,0.0012049,0.0002477
62.855,0.0161252,0.0130376,0.0101087,0.0077219,0.005838,0.0045062,0.0030982,0.0019891,0.0012044,0.0002463
63.538,0.0161334,0.0130469,0.0101125,0.0077246,0.0058408,0.0045091,0.0031002,0.0019903,0.0012038,0.000245
64.221,0.0161415,0.0130562,0.0101162,0.0077274,0.0058437,0.004512,0.0031022,0.0019914,0.0012033,0.0002436
64.904,0.0161496,0.0130655,0.0101199,0.0077301,0.0058465,0.0045148,0.0031042,0.0019926,0.0012027,0.0002422
65.588,0.0161577,0.0130748,0.0101236,0.0077329,0.0058493,0.0045177,0.0031062,0.0019938,0.0012022,0.0002409
