PlateVoltage,0V,-1V,-2V,-3V,-4V,-5V,-6V,-7V,-8V,-9V,-10V,-11V,-12V
29.517,0.0028804,0.0002836,0.0001208,0.0001135,5.13e-05,9.33e-05,-0.0016645,0.0001161,7.15e-05,0.000109,0.0001146,0.0001636,0.0001238
30.131,0.0029473,0.0002925,0.0001208,0.0001121,5.07e-05,9.29e-05,-0.0016568,0.0001146,7.13e-05,0.0001086,0.0001144,0.0001632,0.0001237
30.744,0.0030141,0.0003013,0.0001209,0.0001106,5.01e-05,9.25e-05,-0.001649,0.0001132,7.11e-05,0.0001083,0.0001142,0.0001628,0.0001237
31.357,0.003081,0.0003102,0.0001209,0.0001092,4.95e-05,9.21e-05,-0.0016412,0.0001118,7.09e-05,0.000108,0.000114,0.0001623,0.0001236
31.97,0.0031478,0.000319,0.0001209,0.0001077,4.89e-05,9.17e-05,-0.0016334,0.0001103,7.07e-05,0.0001076,0.0001138,0.0001619,0.0001236
32.583,0.0032147,0.0003278,0.0001209,0.0001063,4.83e-05,9.13e-05,-0.0016257,0.0001089,7.05e-05,0.0001073,0.0001135,0.0001615,0.0001235
33.196,0.0032815,0.0003367,0.000121,0.0001048,4.77e-05,9.09e-05,-0.0016179,0.0001075,7.04e-05,0.0001069,0.0001133,0.0001611,0.0001235
33.809,0.0033484,0.0003455,0.000121,0.0001034,4.71e-05,9.05e-05,-0.0016101,0.000106,7.02e-05,0.0001066,0.0001131,0.0001607,0.0001234
34.422,0.0034152,0.0003686,0.000121,0.0001019,4.65e-05,9.01e-05,-0.0016023,0.0001046,7e-05,0.0001063,0.0001129,0.0001603,0.0001234
35.035,0.0034821,0.0003946,0.000121,0.0001004,4.59e-05,8.97e-05,-0.0015946,0.0001031,6.98e-05,0.0001059,0.0001126,0.0001599,0.0001234
35.648,0.0035489,0.0004207,0.0001211,9.9e-05,4.53e-05,8.93e-05,-0.0015868,0.0001017,6.96e-05,0.0001056,0.0001124,0.0001595,0.0001233
36.261,0.0036158,0.0004467,0.0001211,9.75e-05,4.47e-05,8.89e-05,-0.001579,0.0001003,6.95e-05,0.0001053,0.0001122,0.0001591,0.0001233
36.874,0.0036826,0.0004727,0.0001211,9.61e-05,4.41e-05,8.85e-05,-0.0015712,9.88e-05,6.93e-05,0.0001049,0.000112,0.0001587,0.0001232
37.488,0.0037495,0.0004987,0.0001211,9.46e-05,4.35e-05,8.81e-05,-0.0015634,9.74e-05,6.91e-05,0.0001046,0.0001118,0.0001582,0.0001232
38.101,0.0038163,0.0005247,0.0001212,9.32e-05,4.29e-05,8.77e-05,-0.0015557,9.6e-05,6.89e-05,0.0001042,0.0001115,0.0001578,0.0001231
38.714,0.0038832,0.0005508,0.0001212,9.17e-05,4.23e-05,8.73e-05,-0.0015479,9.45e-05,6.87e-05,0.0001039,0.0001113,0.0001574,0.0001231
39.327,0.00395,0.0005768,0.0001212,9.03e-05,4.17e-05,8.69e-05,-0.0015401,9.31e-05,6.85e-05,0.0001036,0.0001111,0.000157,0.000123
39.94,0.0040205,0.0006028,0.0001212,8.88e-05,4.11e-05,8.65e-05,-0.0015323,9.17e-05,6.84e-05,0.0001032,0.0001109,0.0001566,0.000123
40.553,0.0040944,0.0006288,0.0001212,8.74e-05,4.05e-05,8.62e-05,-0.0015246,9.02e-05,6.82e-05,0.0001029,0.0001107,0.0001562,0.0001229
41.166,0.0041683,0.0006549,0.0001213,8.59e-05,3.99e-05,8.58e-05,-0.0015168,8.88e-05,6.8e-05,0.0001025,0.0001104,0.0001558,0.0001229
41.779,0.0042422,0.0006809,0.0001213,8.45e-05,3.93e-05,8.54e-05,-0.001509,8.74e-05,6.78e-05,0.0001022,0.0001102,0.0001554,0.0001228
42.392,0.0043161,0.0007069,0.0001213,8.3e-05,3.87e-05,8.5e-05,-0.0015012,8.59e-05,6.76e-05,0.0001019,0.00011,0.000155,0.0001228
43.005,0.00439,0.0007329,0.0001213,8.16e-05,3.81e-05,8.46e-05,-0.0014935,8.45e-05,6.75e-05,0.0001015,0.0001098,0.0001546,0.0001227
43.618,0.0044639,0.0007589,0.0001214,8.01e-05,3.75e-05,8.42e-05,-0.0014857,8.31e-05,6.73e-05,0.0001012,0.0001096,0.0001542,0.0001227
44.231,0.0045377,0.000785,0.0001214,7.87e-05,3.69e-05,8.38e-05,-0.0014779,8.16e-05,6.71e-05,0.0001009,0.0001093,0.0001537,0.0001226
44.845,0.0046116,0.000811,0.0001214,7.72e-05,3.63e-05,8.34e-05,-0.0014701,8.02e-05,6.69e-05,0.0001005,0.0001091,0.0001533,0.0001226
45.458,0.0046855,0.000837,0.0001214,7.57e-05,3.57e-05,8.3e-05,-0.0014624,7.88e-05,6.67e-05,0.0001002,0.0001089,0.0001529,0.0001225
46.071,0.0047594,0.000863,0.0001215,7.43e-05,3.5e-05,8.26e-05,-0.0014546,7.73e-05,6.65e-05,9.98e-05,0.0001087,0.0001525,0.0001225
46.684,0.0048333,0.0008918,0.0001215,7.28e-05,3.44e-05,8.22e-05,-0.0014468,7.59e-05,6.64e-05,9.95e-05,0.0001085,0.0001521,0.0001224
47.297,0.0049072,0.0009347,0.0001215,7.14e-05,3.38e-05,8.18e-05,-0.001439,7.45e-05,6.62e-05,9.92e-05,0.0001082,0.0001517,0.0001224
47.91,0.0049811,0.0009776,0.0001215,6.99e-05,3.32e-05,8.14e-05,-0.0014312,7.3e-05,6.6e-05,9.88e-05,0.000108,0.0001513,0.0001223
48.523,0.005055,0.0010205,0.0001216,6.85e-05,3.26e-05,8.1e-05,-0.0014235,7.16e-05,6.58e-05,9.85e-05,0.0001078,0.0001509,0.0001223
49.136,0.0051289,0.0010635,0.0001216,6.7e-05,3.2e-05,8.06e-05,-0.0014157,7.02e-05,6.56e-05,9.82e-05,0.0001076,0.0001505,0.0001222
49.749,0.0052028,0.0011064,0.0001216,6.56e-05,3.14e-05,8.02e-05,-0.0014079,6.87e-05,6.55e-05,9.78e-05,0.0001074,0.0001501,0.0001222
50.362,0.0052766,0.0011493,0.0001227,6.41e-05,3.08e-05,7.98e-05,-0.0014001,6.73e-05,6.53e-05,9.75e-05,0.0001071,0.0001496,0.0001221
50.975,0.0053505,0.0011922,0.0001387,6.27e-05,3.02e-05,7.94e-05,-0.0013924,6.58e-05,6.51e-05,9.71e-05,0.0001069,0.0001492,0.0001221
51.589,0.0054244,0.0012352,0.0001546,6.12e-05,2.96e-05,7.9e-05,-0.0013846,6.44e-05,6.49e-05,9.68e-05,0.0001067,0.0001488,0.000122
52.202,0.0054983,0.0012781,0.0001706,5.98e-05,2.9e-05,7.86e-05,-0.0013768,6.3e-05,6.47e-05,9.65e-05,0.0001065,0.0001484,0.000122
