PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
166.21,0.14154,0.11389,0.08833,0.06602,0.04848,0.03281,0.01968,0.01135,0.00528
167.58,0.14168,0.11398,0.08841,0.06605,0.04855,0.03288,0.01968,0.01138,0.00527
168.96,0.1418,0.11408,0.08849,0.06607,0.04862,0.03294,0.01968,0.01141,0.00526
170.33,0.14192,0.11417,0.08856,0.0661,0.04868,0.033,0.01969,0.01143,0.00526
171.7,0.14203,0.11427,0.08863,0.06614,0.04873,0.03304,0.0197,0.01144,0.00526
173.08,0.14214,0.11436,0.08869,0.06618,0.04878,0.03307,0.01971,0.01146,0.00526
174.45,0.14223,0.11446,0.08876,0.06622,0.04881,0.0331,0.01973,0.01147,0.00526
175.82,0.14232,0.11456,0.08882,0.06627,0.04884,0.03311,0.01975,0.01147,0.00527
177.2,0.14239,0.11465,0.08888,0.06633,0.04887,0.03311,0.01978,0.01148,0.00528
178.57,0.14246,0.11475,0.08895,0.0664,0.04888,0.03309,0.01981,0.01148,0.00528
179.94,0.14253,0.11485,0.08901,0.06647,0.04889,0.03307,0.01984,0.01148,0.0053
181.32,0.14259,0.11495,0.08908,0.06655,0.0489,0.03304,0.01988,0.01148,0.00531
182.69,0.14265,0.11505,0.08915,0.06663,0.0489,0.03301,0.01992,0.01148,0.00532
184.07,0.14272,0.11515,0.08922,0.06672,0.0489,0.03297,0.01996,0.01148,0.00534
185.44,0.14279,0.11525,0.08929,0.06681,0.04891,0.03294,0.02001,0.01148,0.00535
186.81,0.14288,0.11534,0.08936,0.0669,0.04891,0.03291,0.02005,0.01148,0.00537
188.19,0.14299,0.11544,0.08944,0.06699,0.04893,0.03288,0.0201,0.01148,0.00539
189.56,0.14311,0.11553,0.08952,0.06708,0.04894,0.03287,0.02015,0.01149,0.00541
190.93,0.14323,0.11563,0.0896,0.06718,0.04896,0.03286,0.0202,0.01149,0.00543
192.31,0.14335,0.11571,0.08969,0.06727,0.04899,0.03286,0.02025,0.01151,0.00545
193.68,0.14347,0.1158,0.08977,0.06736,0.04902,0.03288,0.0203,0.01152,0.00547
195.05,0.14358,0.11588,0.08986,0.06745,0.04906,0.03291,0.02034,0.01154,0.00549
196.43,0.14369,0.11596,0.08995,0.06753,0.0491,0.03295,0.02039,0.01157,0.00552
197.8,0.1438,0.11603,0.09004,0.06762,0.04915,0.033,0.02044,0.01159,0.00555
199.18,0.1439,0.1161,0.09013,0.0677,0.04921,0.03307,0.02049,0.01163,0.00557
200.55,0.14401,0.11617,0.09022,0.06778,0.04927,0.03313,0.02053,0.01166,0.00561
201.92,0.14411,0.11623,0.09031,0.06785,0.04933,0.03321,0.02057,0.0117,0.00564
203.3,0.14421,0.1163,0.09041,0.06792,0.04939,0.03328,0.02061,0.01174,0.00567
204.67,0.14432,0.11636,0.0905,0.06799,0.04946,0.03336,0.02065,0.01179,0.00571
206.04,0.14442,0.11642,0.09059,0.06805,0.04953,0.03343,0.02069,0.01184,0.00575
207.42,0.14453,0.11649,0.09068,0.0681,0.0496,0.0335,0.02072,0.01188,0.00579
208.79,0.14465,0.11655,0.09077,0.06816,0.04968,0.03357,0.02076,0.01193,0.00584
210.16,0.14476,0.11662,0.09086,0.06821,0.04975,0.03364,0.02079,0.01198,0.00589
211.54,0.14489,0.1167,0.09095,0.06826,0.04982,0.03369,0.02082,0.01203,0.00595
212.91,0.14501,0.11678,0.09104,0.0683,0.0499,0.03374,0.02085,0.01208,0.00601
214.29,0.14514,0.11687,0.09112,0.06835,0.04997,0.03377,0.02088,0.01213,0.00608
215.66,0.14528,0.11696,0.09121,0.06839,0.05004,0.03379,0.02091,0.01218,0.00616
