PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
39.46,0.02651,0.00656,-0.00014,3e-05,-0.00019,-0.0002,-6e-05,-9e-05,0.00021,-9e-05,6e-05
40.06,0.02701,0.0069,-0.00014,4e-05,-0.00019,-0.00021,-7e-05,-9e-05,0.00021,-8e-05,6e-05
40.65,0.02752,0.00724,-0.00014,5e-05,-0.00018,-0.00022,-8e-05,-9e-05,0.00021,-8e-05,5e-05
41.25,0.02803,0.00758,-0.00013,6e-05,-0.00017,-0.00022,-8e-05,-9e-05,0.00021,-7e-05,5e-05
41.84,0.02854,0.0079,-0.00012,7e-05,-0.00016,-0.00023,-9e-05,-9e-05,0.0002,-7e-05,5e-05
42.43,0.02907,0.00822,-0.00011,8e-05,-0.00015,-0.00023,-0.0001,-9e-05,0.0002,-6e-05,5e-05
43.03,0.02961,0.00852,-8e-05,9e-05,-0.00014,-0.00023,-0.0001,-9e-05,0.00019,-6e-05,5e-05
43.62,0.03016,0.00881,-6e-05,9e-05,-0.00014,-0.00024,-0.00011,-9e-05,0.00019,-5e-05,5e-05
44.21,0.03075,0.00909,-2e-05,0.0001,-0.00013,-0.00024,-0.00012,-9e-05,0.00018,-5e-05,5e-05
44.81,0.03136,0.00937,1e-05,0.00011,-0.00012,-0.00025,-0.00013,-9e-05,0.00017,-4e-05,5e-05
45.4,0.032,0.00965,6e-05,0.00011,-0.00012,-0.00025,-0.00013,-9e-05,0.00016,-4e-05,5e-05
45.99,0.03266,0.00993,0.00011,0.00011,-0.00011,-0.00025,-0.00014,-9e-05,0.00015,-3e-05,5e-05
46.59,0.03334,0.01021,0.00016,0.00011,-0.00011,-0.00025,-0.00015,-9e-05,0.00015,-3e-05,5e-05
47.18,0.03403,0.0105,0.00022,0.00011,-0.00011,-0.00026,-0.00016,-9e-05,0.00014,-2e-05,5e-05
47.77,0.03472,0.01078,0.00029,0.00011,-0.0001,-0.00026,-0.00017,-0.0001,0.00013,-2e-05,5e-05
48.37,0.03541,0.01106,0.00036,0.00011,-0.0001,-0.00026,-0.00018,-0.0001,0.00012,-1e-05,5e-05
48.96,0.03608,0.01135,0.00044,0.00011,-0.0001,-0.00026,-0.00019,-0.0001,0.00011,-8e-06,5e-05
49.55,0.03674,0.01164,0.00053,0.0001,-0.0001,-0.00026,-0.0002,-0.0001,9e-05,-3e-06,5e-05
50.15,0.03738,0.01194,0.00062,0.0001,-0.0001,-0.00027,-0.00021,-0.00011,8e-05,2e-06,5e-05
50.74,0.038,0.01224,0.00072,9e-05,-0.0001,-0.00027,-0.00022,-0.00011,7e-05,6e-06,5e-05
51.33,0.03862,0.01255,0.00082,8e-05,-0.0001,-0.00027,-0.00022,-0.00011,6e-05,1e-05,5e-05
51.93,0.03924,0.01286,0.00094,7e-05,-0.0001,-0.00027,-0.00023,-0.00012,5e-05,2e-05,5e-05
52.52,0.03985,0.01318,0.00106,6e-05,-0.0001,-0.00027,-0.00024,-0.00012,4e-05,2e-05,5e-05
53.11,0.04046,0.0135,0.00118,5e-05,-0.0001,-0.00027,-0.00025,-0.00012,2e-05,2e-05,5e-05
53.71,0.04108,0.01382,0.00132,3e-05,-0.0001,-0.00027,-0.00025,-0.00013,1e-05,3e-05,5e-05
54.3,0.0417,0.01416,0.00147,2e-05,-0.0001,-0.00027,-0.00026,-0.00013,-3e-06,3e-05,5e-05
54.89,0.04233,0.01449,0.00162,9.41663e-07,-0.0001,-0.00027,-0.00026,-0.00013,-2e-05,4e-05,5e-05
55.49,0.04297,0.01484,0.00179,-2e-05,-0.0001,-0.00027,-0.00026,-0.00014,-3e-05,4e-05,6e-05
56.08,0.04362,0.01519,0.00196,-3e-05,-0.0001,-0.00027,-0.00026,-0.00014,-4e-05,4e-05,6e-05
56.68,0.04429,0.01554,0.00215,-5e-05,-0.0001,-0.00027,-0.00026,-0.00015,-6e-05,4e-05,6e-05
57.27,0.04498,0.0159,0.00234,-7e-05,-0.0001,-0.00027,-0.00026,-0.00015,-7e-05,5e-05,6e-05
