BIG BEN,Eminence,15,225,8,101.3,Ferrite,70,3500,85,6.06,http://www.eminence.com/speakers/speaker-detail/?model=BIG_BEN,http://www.eminence.com/img/speakers/large/BIG_BEN--1.jpg,http://www.eminence.com/img/curves/BIG_BEN.png
LEGEND 1028K,Eminence,10,35,8,97.4,Alnico,100,5000,95,5.8,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1028K,http://www.eminence.com/img/speakers/large/Legend_1028K--1.jpg,http://www.eminence.com/img/curves/Legend_1028K.png
LEGEND 10516,Eminence,10,75,16,99.9,Ferrite,100,5000,96,10.2,http://www.eminence.com/speakers/speaker-detail/?model=Legend_10516,http://www.eminence.com/img/speakers/large/Legend_10516--1.jpg,http://www.eminence.com/img/curves/Legend_10516.png
LEGEND 1058,Eminence,10,75,8,98.7,Ferrite,100,5000,97,7.49,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1058,http://www.eminence.com/img/speakers/large/Legend_1058--1.jpg,http://www.eminence.com/img/curves/Legend_1058.png
LEGEND 1218,Eminence,12,150,8,98.7,Ferrite,80,4200,100,6.95,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1218,http://www.eminence.com/img/speakers/large/Legend_1218--1.jpg,http://www.eminence.com/img/curves/Legend_1218.png
LEGEND 1258,Eminence,12,75,8,100.1,Ferrite,80,4000,94,7.44,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1258,http://www.eminence.com/img/speakers/large/Legend_1258--1.jpg,http://www.eminence.com/img/curves/Legend_1258.png
LEGEND 1275,Eminence,12,75,8,101.1,Ferrite,80,5100,111,7.36,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1275,http://www.eminence.com/img/speakers/large/Legend_1275--1.jpg,http://www.eminence.com/img/curves/Legend_1275.png
LEGEND EM12,Eminence,12,200,8,101.1,Ferrite,60,4900,49,6.6,http://www.eminence.com/speakers/speaker-detail/?model=Legend_EM12,http://www.eminence.com/img/speakers/large/Legend_EM12--1.jpg,http://www.eminence.com/img/curves/Legend_EM12.png
LEGEND GB128,Eminence,12,50,8,101.3,Ferrite,80,5100,86,6.37,http://www.eminence.com/speakers/speaker-detail/?model=Legend_GB128,http://www.eminence.com/img/speakers/large/Legend_GB128--1.jpg,http://www.eminence.com/img/curves/Legend_GB128.png
LEGEND V1216,Eminence,12,120,16,100.9,Ferrite,80,5000,77,13.18,http://www.eminence.com/speakers/speaker-detail/?model=Legend_V1216,http://www.eminence.com/img/speakers/large/Legend_V1216--1.jpg,http://www.eminence.com/img/curves/Legend_V1216.png
LEGEND V128,Eminence,12,120,8,100.9,Ferrite,80,5000,89,6.37,http://www.eminence.com/speakers/speaker-detail/?model=Legend_V128,http://www.eminence.com/img/speakers/large/Legend_V128--1.jpg,http://www.eminence.com/img/curves/Legend_V128.png
LEGEND 1518,Eminence,15,150,8,103.4,Ferrite,60,4000,82,7.16,http://www.eminence.com/speakers/speaker-detail/?model=Legend_1518,http://www.eminence.com/img/speakers/large/Legend_1518--1.jpg,http://www.eminence.com/img/curves/Legend_1518.png
