PlateVoltage,0V,-4V,-8V,-12V,-16V,-20V,-24V,-28V,-32V
249.17,0.45907,0.38534,0.3012,0.23178,0.16942,0.11704,0.07536,0.04553,0.02487
249.81,0.45907,0.38544,0.30132,0.23188,0.16947,0.11708,0.07541,0.04557,0.02489
255.88,0.45907,0.38634,0.30239,0.23282,0.16998,0.11744,0.07579,0.04593,0.02506
257.28,0.45907,0.38651,0.30263,0.23303,0.1701,0.11752,0.07587,0.04601,0.02511
271.24,0.45907,0.38784,0.3049,0.23511,0.17131,0.11822,0.07659,0.04662,0.0257
280.47,0.45907,0.38784,0.30621,0.23638,0.17218,0.11865,0.07701,0.04688,0.02615
286.92,0.45907,0.38784,0.30703,0.2372,0.17284,0.11896,0.0773,0.04699,0.02647
287.28,0.45907,0.38784,0.30707,0.23724,0.17288,0.11898,0.07732,0.04699,0.02649
297.55,0.45907,0.38784,0.3082,0.23836,0.17407,0.11952,0.0778,0.04711,0.02696
298.21,0.45907,0.38784,0.30826,0.23842,0.17415,0.11955,0.07784,0.04711,0.02699
298.43,0.45907,0.38784,0.30828,0.23844,0.17418,0.11957,0.07785,0.04711,0.027
299.26,0.45907,0.38784,0.30837,0.23851,0.17428,0.11961,0.07789,0.04712,0.02703
320.5,0.45907,0.38784,0.31021,0.23975,0.177,0.12097,0.07902,0.04733,0.02766
324.74,0.45907,0.38784,0.31054,0.2399,0.17753,0.12126,0.07923,0.0474,0.02775
332.35,0.45907,0.38784,0.3111,0.24018,0.17841,0.12179,0.07956,0.04756,0.02792
335.96,0.45907,0.38784,0.31137,0.24034,0.1788,0.12204,0.0797,0.04765,0.028
337.14,0.45907,0.38784,0.31145,0.2404,0.17893,0.12212,0.07974,0.04768,0.02803
339.58,0.45907,0.38784,0.31163,0.24052,0.17918,0.12228,0.07982,0.04775,0.02809
350.39,0.45907,0.38784,0.31238,0.24121,0.18022,0.123,0.08015,0.04806,0.02838
358.31,0.45907,0.38784,0.31293,0.24179,0.18092,0.1235,0.08036,0.04829,0.02858
359.78,0.45907,0.38784,0.31303,0.2419,0.18104,0.12359,0.0804,0.04834,0.02862
378.3,0.45907,0.38784,0.31303,0.24339,0.18244,0.1247,0.08099,0.04882,0.02895
379.33,0.45907,0.38784,0.31303,0.24347,0.1825,0.12476,0.08103,0.04884,0.02896
385.75,0.45907,0.38784,0.31303,0.24397,0.18291,0.12514,0.08131,0.04898,0.029
394.08,0.45907,0.38784,0.31303,0.24458,0.18338,0.12566,0.08178,0.04914,0.02902
401.68,0.45907,0.38784,0.31303,0.24509,0.18377,0.12615,0.08239,0.04925,0.02904
406.56,0.45907,0.38784,0.31303,0.24539,0.184,0.12648,0.08287,0.04931,0.02906
415.01,0.45907,0.38784,0.31303,0.24588,0.18439,0.12708,0.08385,0.0494,0.02916
424.37,0.45907,0.38784,0.31303,0.24639,0.18485,0.12778,0.08495,0.04954,0.0294
433.02,0.45907,0.38784,0.31303,0.24684,0.18532,0.12844,0.0858,0.04977,0.02985
434.13,0.45907,0.38784,0.31303,0.2469,0.18539,0.12853,0.08589,0.04981,0.02993
442.27,0.45907,0.38784,0.31303,0.24731,0.1859,0.12917,0.08646,0.05021,0.0305
459.4,0.45907,0.38784,0.31303,0.24818,0.18711,0.13054,0.08734,0.05156,0.03139
462.83,0.45907,0.38784,0.31303,0.24836,0.18735,0.13082,0.08749,0.05186,0.03144
471.08,0.45907,0.38784,0.31303,0.24879,0.18794,0.13148,0.08782,0.05251,0.03139
482.51,0.45907,0.38784,0.31303,0.24941,0.18873,0.13238,0.08827,0.05317,0.03116
483.43,0.45907,0.38784,0.31303,0.24946,0.18879,0.13245,0.08831,0.05321,0.03114
492.53,0.45907,0.38784,0.31303,0.24997,0.18937,0.13315,0.08869,0.05343,0.03094
498.98,0.45907,0.38784,0.31303,0.25034,0.18977,0.13365,0.08898,0.05349,0.03084
501.1,0.45907,0.38784,0.31303,0.25034,0.18989,0.1338,0.08907,0.0535,0.03083
528.11,0.45907,0.38784,0.31303,0.25034,0.19143,0.13574,0.09024,0.05361,0.03119
530.14,0.45907,0.38784,0.31303,0.25034,0.19154,0.13588,0.09032,0.05365,0.03124
547.28,0.45907,0.38784,0.31303,0.25034,0.19253,0.13696,0.09097,0.05445,0.03175
548.36,0.45907,0.38784,0.31303,0.25034,0.19259,0.13703,0.09101,0.05452,0.03178
568.16,0.45907,0.38784,0.31303,0.25034,0.19384,0.1381,0.09186,0.05585,0.03232
572.96,0.45907,0.38784,0.31303,0.25034,0.19417,0.13835,0.0921,0.05613,0.03245
583.73,0.45907,0.38784,0.31303,0.25034,0.19496,0.1389,0.0927,0.05664,0.03275
599.52,0.45907,0.38784,0.31303,0.25034,0.19621,0.13978,0.09379,0.05717,0.03323
616.8,0.45907,0.38784,0.31303,0.25034,0.19768,0.14093,0.09511,0.05752,0.03391
622.45,0.45907,0.38784,0.31303,0.25034,0.19818,0.14136,0.09552,0.05759,0.03418
640.46,0.45907,0.38784,0.31303,0.25034,0.19979,0.14286,0.09669,0.0577,0.03511
641.03,0.45907,0.38784,0.31303,0.25034,0.19984,0.14291,0.09672,0.0577,0.03514
642.34,0.45907,0.38784,0.31303,0.25034,0.19984,0.14303,0.09679,0.05771,0.03521
665.82,0.45907,0.38784,0.31303,0.25034,0.19984,0.14516,0.09775,0.05804,0.03646
691.33,0.45907,0.38784,0.31303,0.25034,0.19984,0.14744,0.09847,0.05901,0.0376
693.5,0.45907,0.38784,0.31303,0.25034,0.19984,0.14762,0.09853,0.05911,0.03768
697.73,0.45907,0.38784,0.31303,0.25034,0.19984,0.14796,0.09865,0.0593,0.03782
713.08,0.45907,0.38784,0.31303,0.25034,0.19984,0.1491,0.09916,0.06001,0.03821
742.56,0.45907,0.38784,0.31303,0.25034,0.19984,0.15084,0.10036,0.06099,0.03862
742.99,0.45907,0.38784,0.31303,0.25034,0.19984,0.15086,0.10038,0.06099,0.03863
744.17,0.45907,0.38784,0.31303,0.25034,0.19984,0.15092,0.10043,0.06099,0.03863
748.34,0.45907,0.38784,0.31303,0.25034,0.19984,0.15092,0.10061,0.06099,0.03863
